gM,rbM,rI,gI,bI
5,4,49,45,47
2,2,82,87,114
5,5,42,47,46
6,5,43,35,37
5,3,79,47,72
4,4,45,50,50
8,5,35,27,42
3,3,52,80,69
4,2,76,60,95
3,4,60,66,61
2,2,89,97,88
5,4,48,44,64
6,4,42,37,68
3,4,48,66,69
3,2,65,81,91
7,6,36,33,37
6,6,35,36,36
6,5,41,40,38
7,3,49,33,67
1,2,105,135,125
2,2,97,118,111
2,2,110,97,117
2,2,85,101,96
5,5,35,45,47
4,5,43,49,40
5,4,49,47,46
2,1,96,117,129
2,2,95,109,107
5,5,46,47,47
5,5,38,43,41
4,4,51,57,54
6,4,46,37,66
4,4,47,55,59
3,3,66,74,71
5,3,64,44,60
4,6,37,51,39
4,2,75,54,99
2,3,60,94,79
3,3,78,80,75
4,5,40,51,48
1,2,104,134,117
8,5,39,28,48
3,4,46,68,55
4,5,48,51,48
4,3,62,62,79
2,3,75,84,83
5,4,49,43,44
5,4,53,46,57
2,2,89,89,96
3,2,67,63,118
2,2,108,109,124
3,3,72,74,71
6,4,49,39,53
2,2,89,93,94
6,5,39,39,43
2,2,103,117,106
3,3,53,69,67
1,2,113,135,126
5,5,45,43,43
2,2,102,113,108
3,4,44,66,51
4,4,53,54,53
2,3,70,84,78
5,5,38,43,46
4,3,66,58,72
4,5,46,50,49
2,2,116,94,118
4,4,56,55,54
1,1,94,137,143
6,5,42,34,36
2,3,78,85,82
2,2,97,113,106
2,2,82,84,88
5,3,51,41,82
2,2,105,122,116
1,2,103,131,115
6,6,37,34,39
4,2,70,61,109
6,4,60,35,56
3,4,62,67,62
5,5,43,44,41
2,2,88,114,106
2,1,118,125,145
4,3,57,54,66
6,5,42,40,44
4,4,48,50,50
3,3,52,75,66
4,4,50,56,52
7,6,29,32,34
2,2,71,90,85
3,3,75,83,75
2,2,93,122,110
4,5,48,59,48
2,2,65,102,110
6,6,39,38,38
7,6,29,30,39
8,6,29,25,49
2,1,118,107,142
3,3,68,77,73
6,4,42,35,62
3,3,54,78,66
2,3,69,85,80
2,2,86,102,94
5,4,45,47,54
2,2,94,105,101
7,5,42,33,45
4,4,54,52,53
5,5,38,41,41
6,5,43,36,44
3,4,44,63,62
2,2,104,121,113
5,5,44,44,43
2,2,76,97,90
4,3,61,55,103
1,2,114,136,124
4,4,60,61,58
3,2,87,82,118
2,2,98,106,103
6,5,35,35,42
2,3,76,84,79
4,4,57,55,56
5,5,44,44,40
7,6,43,33,27
1,2,105,138,126
4,2,81,62,103
