gM,rbM,rI,gI,bI
8,19,10,29,14
24,34,3,5,4
7,21,8,31,17
9,26,6,24,14
11,42,1,6,3
10,16,10,22,22
11,24,6,21,16
19,27,7,11,8
20,44,4,9,4
12,27,7,18,10
20,35,3,6,4
9,20,2,4,3
17,18,2,5,5
14,19,10,16,13
17,33,2,6,4
16,29,2,5,4
9,15,2,5,4
9,30,1,6,3
14,24,9,16,9
20,30,1,5,4
18,27,2,5,4
16,32,2,5,3
22,32,2,7,6
22,16,2,6,6
11,32,2,6,4
16,20,2,5,4
5,16,11,41,20
21,27,7,10,8
9,12,14,24,27
14,22,2,4,3
18,28,6,12,10
17,35,3,7,4
24,36,4,7,5
24,32,2,6,5
13,20,2,5,4
18,34,3,7,5
6,19,9,37,20
11,45,1,6,3
12,35,4,19,12
8,20,8,29,18
23,46,2,6,5
22,25,7,9,5
23,27,4,9,11
12,25,6,19,14
20,41,4,10,6
15,25,7,15,11
8,11,2,4,4
23,34,4,7,4
17,42,2,6,3
9,29,1,4,3
9,15,13,25,16
14,22,9,15,10
17,35,2,6,5
20,36,2,5,4
6,18,10,37,18
10,15,19,22,12
20,46,1,5,3
16,36,2,6,3
16,31,5,13,9
19,38,4,10,6
7,12,2,4,3
11,21,2,5,3
19,28,2,6,4
8,20,9,27,14
8,12,2,5,4
9,21,8,26,17
13,29,1,5,4
17,33,1,5,4
14,27,1,4,3
10,42,1,6,3
22,38,2,7,5
6,21,7,36,25
16,25,2,6,4
21,35,3,6,3
5,17,1,4,3
20,20,2,6,5
22,36,3,6,5
17,23,10,13,8
18,28,2,6,5
8,13,13,27,26
14,45,1,5,3
22,35,3,6,5
18,26,1,6,4
11,30,1,4,3
24,13,2,6,7
9,16,2,5,4
21,19,2,6,6
6,11,24,35,17
9,21,1,5,4
14,25,2,5,4
10,26,2,6,4
18,38,2,6,5
13,41,4,17,8
19,41,3,11,9
22,34,5,8,5
23,29,3,9,11
22,31,2,7,6
21,35,4,8,5
7,24,7,31,16
12,21,12,18,9
16,35,1,5,3
16,34,2,5,4
6,19,1,5,3
8,15,2,5,4
20,29,2,5,4
17,34,2,6,5
23,17,2,6,6
7,13,18,33,16
18,30,2,6,4
22,38,3,8,6
7,15,12,32,19
5,12,1,5,3
8,25,6,27,16
11,26,6,20,13
5,17,9,48,31
21,42,2,7,5
23,37,2,6,4
9,16,13,24,15
12,29,1,6,4
5,18,9,42,22
11,24,1,4,3
17,37,2,7,4
8,13,18,28,15
10,41,1,5,3
20,38,3,7,4
15,28,1,5,4
10,24,7,23,14
19,42,3,8,5
24,46,3,7,5
11,33,1,6,4
13,42,1,4,3
15,37,1,5,3
24,40,3,6,5
7,13,16,33,18
23,44,2,8,6
18,45,4,11,5
8,21,8,29,16
21,41,2,5,4
8,23,2,5,3
19,41,2,7,4
10,25,1,5,4
18,44,3,11,7
14,30,6,15,9
20,35,2,6,4
12,31,2,5,3
18,21,10,12,9
16,32,2,6,5
21,35,2,6,5
14,39,1,5,4
24,25,2,6,6
14,22,2,4,4
15,44,4,14,6
6,18,10,40,18
7,14,17,31,14
24,35,3,5,4
24,24,7,8,5
23,29,2,6,6
7,23,2,5,3
8,19,8,30,25
14,29,6,15,9
13,20,7,17,19
13,19,2,6,4
21,38,4,8,4
15,19,2,5,5
14,29,6,16,10
5,18,8,43,29
9,20,7,24,22
13,17,2,5,5
5,14,2,5,3
10,16,15,22,12
8,13,2,5,4
20,25,2,5,4
11,18,14,20,10
7,19,8,33,24
8,18,15,28,10
9,30,5,26,15
21,40,3,9,6
10,27,2,5,4
11,29,7,20,8
19,34,2,5,4
6,15,1,4,3
6,19,8,37,25
19,31,3,6,4
15,27,5,15,15
17,37,2,6,4
16,24,7,13,11
12,28,6,18,11
6,13,1,5,3
18,43,3,11,7
8,35,1,6,3
19,42,2,7,4
21,30,7,10,6
14,29,1,4,3
11,33,1,5,3
12,23,2,4,3
19,39,1,5,4
10,34,1,6,4
21,40,2,7,4
15,22,1,5,4
23,34,4,8,7
21,36,1,5,4
12,23,7,19,15
5,17,9,45,27
24,35,3,5,3
22,23,5,10,15
23,29,3,9,10
7,23,1,5,3
11,16,19,21,10
16,36,1,5,3
10,14,1,4,4
22,23,9,10,5
8,19,1,5,4
21,31,7,10,5
8,19,11,27,12
17,36,4,12,8
18,37,2,7,5
